GDP,Unemployment,Inflation,InterestRate,Swiss franc/Euro,Euro/Dollar,Euro/US
680503.42,8.833333333333334,78.33423333333333,3.8629420289855063,1.5994,0.68679,1.1216
679640.7,8.633333333333333,78.76959666666666,4.074193817878027,1.5997,0.65784,1.0569
688957.89,8.466666666666667,79.08057333333333,4.865303030303034,1.602,0.65492,1.0486
692236.2,8.299999999999999,79.04947666666668,5.160000000000001,1.6003,0.63632,1.038
702911.67,8.133333333333333,79.54703333333333,5.460379572118703,1.607,0.61442,0.9865
708519.05,8.0,79.64032666666667,5.265033670033673,1.563,0.61035,0.9332
709036.65,7.900000000000001,80.16898333333334,5.24665286404417,1.5441,0.61245,0.9052
706017.32,7.766666666666667,80.41776333333333,5.083768512189564,1.5162,0.60046,0.8683
721006.32,7.666666666666667,80.91531333333334,4.749469696969697,1.5334,0.6326,0.9232
719194.77,7.666666666666667,81.66165333333333,4.95823763955343,1.5283,0.61437,0.8725
719194.75,7.833333333333333,81.78604333333334,4.8842740447957835,1.507,0.6194,0.8903
716951.87,8.033333333333333,81.75494333333332,4.59439161435325,1.4735,0.6209,0.8959
713608.89,8.166666666666666,82.53238,4.9810757575757565,1.4733,0.61471,0.8766
716369.45,8.4,82.71896333333332,5.113488455988456,1.4648,0.62853,0.9188
721286.77,8.733333333333333,82.78115666666666,4.614058284710456,1.4636,0.63533,0.9838
719302.59,9.1,82.71896333333332,4.4256958822176236,1.4667,0.63611,0.9994
709532.91,9.5,83.4653,4.04515873015873,1.4662,0.66961,1.0731
710568.05,9.733333333333333,83.37200999999999,3.859634920634924,1.518,0.70169,1.1372
717037.96,9.8,83.65188333333333,4.091324110671937,1.5451,0.69888,1.1248
717900.63,9.8,83.68298333333333,4.288452326468348,1.5537,0.69753,1.189
716800.82,10.066666666666668,84.27383333333334,4.06481021394065,1.5686,0.67987,1.2497
721027.96,10.3,84.92687333333333,4.2210202020202,1.5374,0.66704,1.2046
718698.68,10.366666666666667,85.17565,4.111212121212123,1.5363,0.67216,1.222
718439.93,10.6,85.36223666666667,3.7515800865800863,1.5335,0.69507,1.2977
719582.76,10.833333333333334,85.64211,3.601650793650793,1.5488,0.69362,1.3113
723896.25,11.199999999999998,85.98418333333332,3.304278499278501,1.5437,0.67856,1.2594
729590.13,11.166666666666666,86.57503666666668,3.168683418031243,1.5533,0.68344,1.2199
732350.8,10.866666666666667,86.79271666666665,3.3414574314574335,1.5472,0.67996,1.1884
740524.49,10.533333333333333,87.10369000000001,3.4770849802371564,1.559,0.68625,1.2023
753205.91,10.200000000000001,87.57015333333332,3.93939393939394,1.5631,0.68778,1.2582
758899.61,9.9,87.85002999999999,3.8825741890959264,1.5768,0.67977,1.2743
770028.15,9.566666666666666,87.91222333333333,3.757448165869217,1.5928,0.67314,1.2887
771041.95,9.066666666666666,88.65855666666666,4.002242424242423,1.6162,0.67062,1.3106
776131.7,8.6,89.37379,4.330543024227237,1.6478,0.6788,1.3481
780099.9,8.433333333333334,89.84025666666666,4.34250724637681,1.6473,0.68001,1.3738
785879.71,8.200000000000001,90.61769,4.192527319228087,1.6596,0.70782,1.4486
790495.44,7.8999999999999995,91.27073666666666,3.9266860332649802,1.6014,0.75698,1.4976
787648.54,7.533333333333334,91.95488,4.254126984126984,1.6114,0.79286,1.5622
783335.04,7.133333333333333,92.60792666666667,4.262302214693521,1.6115,0.79504,1.505
771170.94,7.033333333333334,92.07926666666667,3.495957665903893,1.5249,0.83907,1.318
735024.76,7.2,92.01707333333333,3.072665945165943,1.4977,0.90878,1.3029
736836.46,7.466666666666666,92.20366,3.325878787878787,1.5138,0.87883,1.3632
741408.81,7.533333333333334,92.39024333333333,3.30208200012548,1.5195,0.87161,1.4303
747102.65,7.266666666666667,92.45243333333333,3.18824458874459,1.5088,0.90483,1.4779
752536.89,7.0,92.76341333333333,3.176557971014493,1.4632,0.8876,1.3829
768841.98,6.7,93.22986666666667,2.7806558441558433,1.4086,0.85239,1.2708
776261.22,6.433333333333334,93.41645,2.4221212121212132,1.3321,0.83305,1.291
781351.18,6.2,93.72742666666666,2.5977344877344866,1.3225,0.85944,1.3583
795477.26,5.866666666666667,94.50486000000001,3.142468599033817,1.2871,0.85386,1.368
797633.95,5.566666666666666,95.09571,3.097448165869217,1.2514,0.88274,1.4391
801947.35,5.433333333333334,95.46888000000001,2.262126231256666,1.1649,0.8776,1.4127
801861.08,5.233333333333333,95.81095333333333,1.9346969696969698,1.2293,0.85727,1.3482
803564.86,5.1,96.52618666666666,1.8344227994228,1.208,0.83448,1.3108
