GDP,Unemployment,Inflation,InterestRate,Swiss franc/Euro,Euro/Dollar,Euro/Uk,Stoxx50,Property Prices Ger,Property Prices UK,VIX
716046.03,9.382928,82.0,5.39,1.4621,0.65711,1.0622,206.3098,111.5989,74.5283,45.16631363636364
712789.47,9.511301,82.4,5.18,1.4674,0.66977,1.0773,189.7858,111.69872596041657,74.89721509776459,44.39293
709532.91,9.61668,82.5,5.07,1.4695,0.68255,1.0807,182.9959,111.42935482309217,75.90895967383017,47.46984285714286
709877.9566666667,9.692093,82.3,5.04,1.4964,0.68902,1.0848,197.8797,111.2876,76.8233,36.9559
710223.0033333334,9.738193,82.1,4.97,1.5155,0.71322,1.1582,201.9869,110.89590985805881,77.85717097969874,32.040166666666664
710568.05,9.758932,82.3,4.82,1.5411,0.70224,1.1663,213.4754,110.63255156227298,78.78544643279011,27.84754285714286
712724.6866666666,9.767838,82.5,4.69,1.5476,0.70045,1.1372,216.1181,110.4533,78.9372,26.776278260869564
714881.3233333334,9.768315,82.5,4.79,1.54,0.69919,1.1139,222.3362,110.08785267986205,80.61759852266532,25.901271428571427
717037.96,9.765273,82.4,4.9,1.5474,0.69693,1.1222,226.8148,109.82473186858819,81.45315502521444,27.29710909090909
717325.5166666666,9.762922,82.4,4.9,1.5485,0.69763,1.1692,225.5273,109.75,80.5679,26.764617391304345
717613.0733333334,9.763627,82.2,5.0,1.559,0.69278,1.1702,233.9221,109.29224742515163,83.02635848872676,23.88348
717900.63,9.769885,82.9,5.06,1.5544,0.70196,1.2286,239.5655,109.0236098224158,83.75171572661384,20.80296842105263
717534.0266666666,9.779729,82.9,5.02,1.5657,0.69215,1.2613,250.6021,108.3665,81.2926,19.505061904761902
717167.4233333333,10.128025,83.1,4.95,1.5734,0.6769,1.2646,253.8807,108.50903530643915,84.99248342059904,18.983875
716800.82,10.259152,83.4,4.85,1.567,0.67124,1.2262,250.5157,108.24660909337805,85.55011728715117,23.150447826086953
718209.8666666666,10.269635,83.7,4.76,1.5547,0.66533,1.1985,254.9728,107.9078,86.0639,20.285415
719618.9133333333,10.283925,83.9,4.8,1.54,0.67157,1.2007,244.3852,107.73870378604185,86.50890917879224,23.200295238095237
721027.96,10.304224,83.9,4.83,1.5192,0.66428,1.2138,249.7583,107.4936820967553,86.92454787181026,18.935586363636364
720251.5333333333,10.335042,84.1,4.84,1.527,0.66576,1.2266,245.1626,107.2677,89.8688,18.837090909090907
719475.1066666667,10.379462,84.3,4.88,1.5387,0.66942,1.2176,238.8999,106.99894735985983,87.69679669927814,19.908363636363635
718698.68,10.437946,84.0,4.87,1.5431,0.6813,1.2218,248.0048,106.76584234097251,88.04009169271292,16.687177272727272
718612.43,10.5092,84.2,4.78,1.5426,0.69144,1.249,252.0588,106.6036,90.4728,17.256842857142857
718526.18,10.586351,83.8,4.72,1.5216,0.69862,1.2991,259.997,106.30607621632667,88.70628477332231,15.535031818181817
718439.93,10.665482,84.8,4.61,1.5364,0.695,1.3408,264.8449,106.08002403966104,89.0404657272125,14.473638095238094
718820.8733333334,10.745805,84.3,4.55,1.5469,0.69867,1.3119,269.4253,106.0957,88.6118,13.610166666666666
